ax,ay,az,gx,gy,gz,temperature,flame
-8292.0,2616.0,8960.0,-1463.0,-2748.0,905.0,195.0,1.0
-3216.0,3044.0,12500.0,-2090.0,-2155.0,555.0,216.0,1.0
-2404.0,924.0,15676.0,-2422.0,-1866.0,18.0,201.0,1.0
2496.0,568.0,13176.0,-1939.0,-1594.0,-136.0,202.0,1.0
1648.0,-1092.0,18344.0,-1423.0,-2403.0,-414.0,193.0,1.0
4860.0,-1992.0,18484.0,-896.0,-917.0,-607.0,225.0,1.0
4128.0,-2212.0,26100.0,-487.0,-487.0,-723.0,209.0,1.0
6728.0,-1764.0,21792.0,-54.0,822.0,-747.0,205.0,1.0
6620.0,-908.0,21192.0,220.0,1931.0,-729.0,213.0,1.0
2252.0,-1276.0,25372.0,-29.0,2620.0,-590.0,195.0,1.0
-5560.0,-980.0,18376.0,-376.0,1671.0,-218.0,234.0,1.0
-8460.0,-1060.0,12980.0,-562.0,473.0,478.0,201.0,1.0
-9988.0,1916.0,7064.0,-931.0,-1593.0,872.0,223.0,1.0
-7100.0,2660.0,8208.0,-1462.0,-2702.0,891.0,194.0,1.0
-4728.0,2596.0,12632.0,-2101.0,-2129.0,558.0,220.0,1.0
-3796.0,1080.0,15436.0,-2514.0,-1987.0,55.0,204.0,1.0
3740.0,-80.0,9812.0,-1964.0,-1565.0,-123.0,201.0,1.0
1564.0,-452.0,15492.0,-1517.0,-2256.0,-322.0,195.0,1.0
2748.0,-1112.0,19184.0,-1033.0,-1527.0,-553.0,200.0,1.0
4320.0,-1708.0,27236.0,-607.0,-611.0,-723.0,222.0,1.0
4212.0,-2352.0,25840.0,-150.0,401.0,-803.0,199.0,1.0
6904.0,-1776.0,21408.0,162.0,1586.0,-776.0,214.0,1.0
3216.0,-2216.0,24556.0,-3.0,2640.0,-570.0,192.0,1.0
756.0,-480.0,21156.0,-371.0,1850.0,-225.0,220.0,1.0
-5868.0,-944.0,18056.0,-560.0,834.0,259.0,208.0,1.0
-8488.0,-1076.0,13012.0,-771.0,-686.0,741.0,196.0,1.0
-13800.0,3128.0,9456.0,-1287.0,-2523.0,982.0,198.0,1.0
-7756.0,3100.0,7940.0,-1900.0,-2382.0,700.0,198.0,1.0
-5640.0,1980.0,10880.0,-2370.0,-1864.0,252.0,210.0,1.0
4328.0,-1476.0,6596.0,-2349.0,-1739.0,-86.0,199.0,1.0
4776.0,-1380.0,6988.0,-1892.0,-1594.0,-180.0,213.0,1.0
3444.0,-584.0,9340.0,-1433.0,-2350.0,-328.0,195.0,1.0
8864.0,-1820.0,16916.0,-1023.0,-1417.0,-580.0,203.0,1.0
10628.0,-2028.0,18004.0,-654.0,-558.0,-748.0,232.0,1.0
9580.0,-1532.0,21452.0,-273.0,-139.0,-788.0,202.0,1.0
6876.0,-908.0,20948.0,-18.0,1018.0,-782.0,210.0,1.0
4764.0,-544.0,22528.0,184.0,2046.0,-751.0,207.0,1.0
1828.0,-1428.0,25760.0,-17.0,2555.0,-589.0,191.0,1.0
-4472.0,-848.0,18924.0,-301.0,2066.0,-375.0,208.0,1.0
-6464.0,-1084.0,15616.0,-481.0,1063.0,135.0,215.0,1.0
-7912.0,-920.0,11812.0,-685.0,-241.0,688.0,195.0,1.0
-14792.0,3504.0,9648.0,-1091.0,-2068.0,917.0,191.0,1.0
-10140.0,3488.0,7468.0,-1615.0,-2589.0,899.0,194.0,1.0
-6800.0,2432.0,8596.0,-2125.0,-2022.0,480.0,224.0,1.0
4064.0,-244.0,8292.0,-2438.0,-1852.0,35.0,207.0,1.0
4504.0,-1560.0,6628.0,-2267.0,-1683.0,-65.0,196.0,1.0
3796.0,-1376.0,7812.0,-1720.0,-1836.0,-214.0,207.0,1.0
