ax,ay,az,gx,gy,gz,temp,flame,label
9616,3992.0,26416.0,1845.0,3680.0,139.0,72.0,1.0,0
7868,3640.0,31580.0,108.0,856.0,178.0,104.0,1.0,0
-8456,7924.0,32767.0,-297.0,158.0,229.0,114.0,1.0,0
-14052,-1004.0,23544.0,-1497.0,-3515.0,24.0,80.0,1.0,0
7268,2764.0,32204.0,248.0,1097.0,220.0,112.0,1.0,0
6732,3060.0,30468.0,985.0,2187.0,135.0,130.0,1.0,0
224,5948.0,29792.0,1322.0,2658.0,76.0,149.0,1.0,0
9288,3684.0,28532.0,1962.0,4456.0,240.0,130.0,1.0,0
8580,4876.0,18268.0,2061.0,4101.0,-364.0,138.0,1.0,0
5308,6468.0,16432.0,302.0,2147.0,-638.0,143.0,1.0,0
-7508,3248.0,13312.0,-2202.0,-1930.0,-666.0,98.0,1.0,0
-7508,3248.0,13312.0,-2202.0,-1930.0,-666.0,82.0,1.0,0
9152,3280.0,27964.0,2132.0,4362.0,-5.0,108.0,1.0,0
9208,912.0,32384.0,2285.0,4508.0,174.0,68.0,1.0,0
-1800,6760.0,32127.0,-20213.0,-29696.0,-25600.0,130.0,1.0,0
8204,3224.0,30592.0,1284.0,3014.0,196.0,120.0,1.0,0
-14284,5828.0,32767.0,-163.0,269.0,190.0,116.0,1.0,0
-6840,6700.0,32767.0,-1432.0,-3339.0,184.0,76.0,1.0,0
-11824,-3740.0,22020.0,-1202.0,-4364.0,347.0,150.0,1.0,0
4824,-860.0,2840.0,-1009.0,-3014.0,825.0,127.0,1.0,0
2472,3584.0,3968.0,-1170.0,-1017.0,1034.0,80.0,1.0,0
7948,-300.0,-8016.0,-1505.0,434.0,890.0,127.0,1.0,0
536,7364.0,-6644.0,-3150.0,-173.0,692.0,112.0,1.0,0
1449,-1.0,-1.0,-1.0,-1.0,-1.0,159.0,1.0,0
-4872,-10648.0,20776.0,-584.0,-99.0,-1165.0,104.0,1.0,0
-9896,-6616.0,25620.0,-357.0,893.0,-1311.0,121.0,1.0,0
-8000,-10736.0,19876.0,-669.0,146.0,-1410.0,136.0,1.0,0
-8060,6000.0,10228.0,-2018.0,-1904.0,-900.0,138.0,1.0,0
-6296,5724.0,10784.0,-1798.0,-722.0,-493.0,126.0,1.0,0
-764,1132.0,12860.0,-76.0,1196.0,-471.0,140.0,1.0,0
9724,2732.0,29268.0,1433.0,3036.0,-476.0,136.0,1.0,0
2020,3380.0,13836.0,2170.0,4180.0,-286.0,112.0,1.0,0
2740,4152.0,15688.0,1262.0,2679.0,-545.0,126.0,1.0,0
9160,3368.0,26936.0,1223.0,-1.0,-1.0,147.0,1.0,0
1556,3584.0,15072.0,2065.0,4073.0,-246.0,74.0,1.0,0
8268,6712.0,22308.0,2178.0,4282.0,-112.0,117.0,1.0,0
10936,1708.0,28864.0,2247.0,4308.0,-222.0,123.0,1.0,0
-1916,572.0,10628.0,1321.0,2941.0,-613.0,152.0,1.0,0
-1620,344.0,10388.0,-451.0,709.0,-551.0,153.0,1.0,0
-1732,508.0,11576.0,-1363.0,-424.0,-525.0,136.0,1.0,0
640,996.0,14140.0,-1697.0,-548.0,-563.0,118.0,1.0,0
-9548,6024.0,10980.0,-1302.0,-608.0,-466.0,143.0,1.0,0
-8404,6232.0,10744.0,-1930.0,-2243.0,-605.0,123.0,1.0,0
-9008,7236.0,9748.0,-1608.0,-1586.0,-1411.0,130.0,1.0,0
-8012,-7008.0,25336.0,-721.0,137.0,-1201.0,109.0,1.0,0
-16552,-10024.0,23800.0,-2832.0,-2962.0,-92.0,132.0,1.0,0
967,-1.0,-1.0,-1.0,-1.0,-1.0,114.0,1.0,0
-15832,-9708.0,12820.0,-4083.0,-3041.0,827.0,135.0,1.0,0
3928,-4400.0,-8968.0,-2904.0,-198.0,800.0,143.0,1.0,0
6292,-532.0,-1748.0,-1417.0,-176.0,866.0,95.0,1.0,0
5392,-656.0,-3248.0,-1292.0,-1012.0,974.0,72.0,1.0,0
5808,-2664.0,-1520.0,-953.0,-2635.0,1034.0,92.0,1.0,0
-12740,-3536.0,23024.0,-805.0,-3632.0,845.0,122.0,1.0,0
-13664,-1380.0,27680.0,-1225.0,-3886.0,375.0,122.0,1.0,0
7976,332.0,32767.0,-143.0,1006.0,322.0,138.0,1.0,0
10464,3472.0,28308.0,2184.0,4433.0,98.0,72.0,1.0,0
8432,5540.0,23172.0,1646.0,3282.0,-552.0,104.0,1.0,0
752,5540.0,23172.0,1646.0,3282.0,-552.0,72.0,1.0,0
10016,1692.0,29420.0,1140.0,2930.0,-718.0,138.0,1.0,0
-8876,5712.0,10560.0,-1886.0,-1331.0,-569.0,95.0,1.0,0
-7464,5836.0,9968.0,-2039.0,-1758.0,-1099.0,132.0,1.0,0
-9732,-3472.0,20108.0,-2009.0,-1833.0,-895.0,118.0,1.0,0
-7268,4420.0,12416.0,-2192.0,-2004.0,-909.0,95.0,1.0,0
-7224,6284.0,11096.0,-1872.0,-1399.0,-1336.0,121.0,1.0,0
-6132,-7624.0,24708.0,-292.0,1088.0,-1302.0,117.0,1.0,0
-13456,-7912.0,25400.0,-1489.0,-1670.0,-579.0,126.0,1.0,0
-6452,-24.0,2508.0,-2886.0,-2568.0,-81.0,147.0,1.0,0
-15380,-11108.0,16552.0,-2127.0,-2127.0,-417.0,135.0,1.0,0
-10272,-8184.0,16552.0,-2127.0,-2127.0,-417.0,115.0,1.0,0
-3740,-6972.0,22672.0,-579.0,-30.0,-1505.0,109.0,1.0,0
-5248,-7524.0,20340.0,-690.0,131.0,-1392.0,113.0,1.0,0
-4948,-8300.0,23212.0,-1036.0,-856.0,-832.0,84.0,1.0,0
-16500,-11056.0,18936.0,-1233.0,-1501.0,-585.0,121.0,1.0,0
-16756,-8808.0,25676.0,-1556.0,-2615.0,-393.0,136.0,1.0,0
-5796,-6556.0,25212.0,-1864.0,-2157.0,-583.0,118.0,1.0,0
-13788,-8756.0,25100.0,-1225.0,-872.0,-916.0,96.0,1.0,0
-10732,-8644.0,18448.0,-630.0,-121.0,-1373.0,88.0,1.0,0
-10316,-9800.0,19148.0,-1649.0,-1420.0,-1229.0,135.0,1.0,0
-6616,7180.0,9524.0,-2272.0,-1543.0,-705.0,86.0,1.0,0
4095,-1.0,-1.0,-1.0,-1.0,-1.0,159.0,1.0,0
8152,60.0,31628.0,2234.0,4455.0,28.0,88.0,1.0,0
6716,-528.0,32767.0,1847.0,3984.0,28.0,88.0,1.0,0
8292,2888.0,30500.0,2131.0,4480.0,100.0,116.0,1.0,0
9724,912.0,30828.0,2218.0,4368.0,145.0,147.0,1.0,0
8408,1092.0,31700.0,1949.0,4118.0,114.0,110.0,1.0,0
3684,5880.0,29236.0,1697.0,4000.0,156.0,96.0,1.0,0
6764,364.0,32767.0,1055.0,3052.0,271.0,128.0,1.0,0
-1832,6280.0,32200.0,153.0,1579.0,273.0,135.0,1.0,0
-14736,-2800.0,25628.0,-1421.0,-2629.0,51.0,128.0,1.0,0
-14712,688.0,31708.0,-1421.0,-2629.0,51.0,80.0,1.0,0
4556,-2412.0,-9940.0,-1517.0,-453.0,732.0,76.0,1.0,0
6588,-1312.0,-9364.0,-2845.0,-84.0,652.0,106.0,1.0,0
-2400,2988.0,-1588.0,-4083.0,-2516.0,681.0,139.0,1.0,0
-12580,-10200.0,22392.0,-3392.0,-2527.0,-179.0,120.0,1.0,0
-13968,-10596.0,16748.0,-2115.0,-2134.0,-497.0,128.0,1.0,0
-5204,-7756.0,25144.0,-783.0,-771.0,-980.0,112.0,1.0,0
-8704,6160.0,9476.0,-1518.0,-1640.0,-1183.0,128.0,1.0,0
-5976,4592.0,11440.0,-1081.0,-316.0,-437.0,141.0,1.0,0
9460,1900.0,29520.0,1987.0,4059.0,-289.0,116.0,1.0,0
8088,-732.0,32767.0,441.0,1809.0,91.0,129.0,1.0,0
-14128,596.0,25528.0,-1077.0,-4401.0,403.0,148.0,1.0,0
7416,-2392.0,-10388.0,-1725.0,245.0,573.0,124.0,1.0,0
-10432,-7336.0,25668.0,-2802.0,-2751.0,-97.0,163.0,1.0,0
-10172,-3564.0,20608.0,-1362.0,-1.0,-1.0,129.0,1.0,0
6532,6420.0,19960.0,1335.0,3131.0,-478.0,136.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,140.0,1.0,0
-10940,-4960.0,17976.0,-729.0,-3673.0,952.0,128.0,1.0,0
7440,-1584.0,-7460.0,-1151.0,-1355.0,873.0,111.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,121.0,1.0,0
-11212,-7748.0,20548.0,-681.0,-234.0,-1436.0,134.0,1.0,0
1024,4456.0,13004.0,-1522.0,-865.0,-506.0,121.0,1.0,0
2488,3992.0,11071.0,-1.0,-1.0,-1.0,139.0,1.0,0
8596,28.0,32767.0,1721.0,4019.0,161.0,80.0,1.0,0
2272,5960.0,29128.0,-167.0,940.0,179.0,136.0,1.0,0
-11312,6128.0,32767.0,-643.0,-325.0,-36.0,120.0,1.0,0
7904,2868.0,30064.0,-1074.0,-1434.0,31.0,129.0,1.0,0
-14184,5976.0,32767.0,-1460.0,-2568.0,93.0,76.0,1.0,0
-14188,-2288.0,22856.0,-1420.0,-3492.0,189.0,80.0,1.0,0
-13700,7200.0,32767.0,-1271.0,-3534.0,185.0,122.0,1.0,0
-14440,2856.0,29752.0,-1681.0,-3789.0,129.0,121.0,1.0,0
-6480,-2476.0,9248.0,-1138.0,-4440.0,423.0,135.0,1.0,0
-11840,-5052.0,19988.0,-789.0,-3343.0,1085.0,128.0,1.0,0
4284,1008.0,1768.0,-998.0,-2963.0,973.0,120.0,1.0,0
-2436,2196.0,5460.0,-1084.0,-1607.0,1084.0,127.0,1.0,0
2184,4416.0,2432.0,-886.0,-2631.0,1165.0,100.0,1.0,0
2564,3892.0,2040.0,-925.0,-3656.0,931.0,140.0,1.0,0
-12576,-2876.0,18164.0,-735.0,-3074.0,1007.0,116.0,1.0,0
2520,4528.0,1508.0,-1046.0,-2698.0,1017.0,116.0,1.0,0
3071,-1.0,-1.0,-1.0,-1.0,-1.0,136.0,1.0,0
1696,4124.0,1972.0,-850.0,-2938.0,1093.0,132.0,1.0,0
-904,3656.0,3464.0,-1252.0,-4749.0,410.0,171.0,1.0,0
-13112,6428.0,32688.0,-1601.0,-4956.0,175.0,111.0,1.0,0
-13988,124.0,27540.0,-1816.0,-4578.0,35.0,143.0,1.0,0
-13296,6420.0,32296.0,-555.0,-191.0,202.0,112.0,1.0,0
8332,-220.0,32767.0,458.0,1870.0,73.0,128.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,0
3052,2476.0,3340.0,-899.0,-3646.0,802.0,128.0,1.0,0
-2416,1900.0,7032.0,-1160.0,-2289.0,1094.0,127.0,1.0,0
5592,-24.0,-5880.0,-1370.0,-471.0,856.0,100.0,1.0,0
4120,-1100.0,-9980.0,-1672.0,-962.0,826.0,88.0,1.0,0
3396,1488.0,1844.0,-1401.0,-325.0,803.0,143.0,1.0,0
532,1244.0,-6504.0,-3364.0,-567.0,604.0,91.0,1.0,0
-6880,-6864.0,26888.0,-704.0,-395.0,-1001.0,127.0,1.0,0
-7864,6276.0,10748.0,-2061.0,-1811.0,-872.0,96.0,1.0,0
-6428,5400.0,10132.0,-712.0,560.0,-461.0,167.0,1.0,0
6884,5000.0,18664.0,1797.0,3701.0,-364.0,120.0,1.0,0
9872,-28.0,31816.0,2409.0,4465.0,-229.0,118.0,1.0,0
2528,3608.0,12748.0,2307.0,4377.0,-165.0,104.0,1.0,0
8092,5320.0,21908.0,2307.0,4377.0,-165.0,128.0,1.0,0
248,6288.0,27988.0,-1452.0,-2679.0,24.0,76.0,1.0,0
-2132,3160.0,6576.0,-984.0,-2292.0,951.0,122.0,1.0,0
4712,-636.0,1940.0,-1032.0,-1779.0,1091.0,124.0,1.0,0
4992,-668.0,-4644.0,-1137.0,-2313.0,1065.0,143.0,1.0,0
4264,928.0,1588.0,-1225.0,-657.0,1047.0,164.0,1.0,0
4900,812.0,-9544.0,-1997.0,-245.0,899.0,154.0,1.0,0
-732,8864.0,-6000.0,-2991.0,-504.0,913.0,120.0,1.0,0
-9416,-1728.0,4656.0,-3457.0,-1745.0,812.0,114.0,1.0,0
-852,8120.0,-5216.0,-3661.0,-2698.0,908.0,112.0,1.0,0
-11996,-5064.0,7864.0,-3924.0,-2904.0,629.0,104.0,1.0,0
-17988,-10104.0,22044.0,-3348.0,-3016.0,666.0,140.0,1.0,0
752,6400.0,-3980.0,-3270.0,-995.0,868.0,88.0,1.0,0
-616,7044.0,-4248.0,-3017.0,-351.0,798.0,136.0,1.0,0
1584,-1576.0,-8540.0,-1574.0,-879.0,896.0,115.0,1.0,0
-4200,620.0,9068.0,-1004.0,-2350.0,1005.0,116.0,1.0,0
784,3948.0,5340.0,-903.0,-3390.0,920.0,114.0,1.0,0
-84,3404.0,6328.0,-856.0,-4138.0,575.0,138.0,1.0,0
3352,1476.0,4336.0,-778.0,-3908.0,644.0,112.0,1.0,0
-15724,144.0,26440.0,-1067.0,-4265.0,584.0,144.0,1.0,0
-14152,-1952.0,24072.0,-1799.0,-4628.0,165.0,167.0,1.0,0
-14152,-1952.0,24072.0,-1799.0,-4628.0,165.0,80.0,1.0,0
5932,-284.0,-2892.0,-936.0,-2599.0,905.0,112.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,0
-420,6580.0,-4608.0,-2641.0,-252.0,825.0,132.0,1.0,0
-2788,5396.0,-1932.0,-2978.0,-175.0,778.0,139.0,1.0,0
612,2960.0,-4816.0,-3906.0,-2114.0,736.0,98.0,1.0,0
1776,6628.0,-3688.0,-3722.0,-1546.0,758.0,104.0,1.0,0
3136,6272.0,-6288.0,-2575.0,750.0,591.0,121.0,1.0,0
3752,-1480.0,3132.0,-1783.0,-353.0,655.0,140.0,1.0,0
2580,1668.0,2208.0,-1140.0,-1676.0,1004.0,128.0,1.0,0
2256,3036.0,3344.0,-700.0,-3301.0,1070.0,116.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,0
4812,-544.0,2324.0,-1337.0,-2536.0,921.0,100.0,1.0,0
4812,-1196.0,1932.0,-913.0,-2829.0,1021.0,84.0,1.0,0
-14752,-624.0,29688.0,-774.0,-3789.0,733.0,138.0,1.0,0
-15628,-48.0,29316.0,-1082.0,-4048.0,357.0,111.0,1.0,0
-14960,-1752.0,25048.0,-1598.0,-3544.0,91.0,88.0,1.0,0
-3220,6712.0,31988.0,-1814.0,-4034.0,143.0,84.0,1.0,0
-5800,-1732.0,32008.0,-1413.0,-2408.0,276.0,92.0,1.0,0
-4128,508.0,31872.0,-44.0,905.0,289.0,114.0,1.0,0
1020,5324.0,30208.0,1184.0,3260.0,240.0,143.0,1.0,0
10396,1896.0,27172.0,16383.0,-1.0,-1.0,127.0,1.0,0
6836,6096.0,19320.0,1314.0,3312.0,-505.0,128.0,1.0,0
6592,4616.0,16428.0,-1031.0,127.0,-534.0,140.0,1.0,0
-11428,-11512.0,21600.0,-1431.0,-770.0,-1553.0,124.0,1.0,0
-13432,-7072.0,26156.0,-1416.0,-2414.0,-334.0,159.0,1.0,0
1448,7852.0,-6296.0,-3864.0,-2378.0,794.0,88.0,1.0,0
1792,4428.0,-3332.0,-3349.0,-493.0,755.0,127.0,1.0,0
860,3868.0,-3592.0,-2366.0,398.0,605.0,128.0,1.0,0
668,4532.0,-2692.0,-1889.0,402.0,638.0,114.0,1.0,0
4752,-1432.0,2520.0,-1413.0,-112.0,762.0,124.0,1.0,0
4896,-1532.0,160.0,-1670.0,-854.0,729.0,111.0,1.0,0
