ax,ay,az,gx,gy,gz,temp,flame
-16944,1392,32767,-1240,-4398,-183,159,1
4248,-648,6932,-720,-2521,-1,112,1
172,4180,-6376,-1865,70,913,136,1
-1024,5588,-6788,-1865,70,913,118,1
-6508,-6100,19272,-188,1532,-1209,148,1
-5616,-1524,18680,-1990,-1391,-851,128,1
-2012,2908,13132,-768,338,-100,160,1
9016,1404,29616,1716,3615,-11,128,1
1612,3900,14112,1891,3908,0,143,1
8204,2760,24300,2208,4374,-7,130,1
6048,4044,20304,556,2059,-158,92,1
8816,2592,27524,488,1642,-89,108,1
1736,3076,14036,1936,3965,-10,132,1
7380,3104,23292,1402,3226,-61,100,1
10232,2196,29672,1789,3797,41,130,1
9320,1100,28592,2129,4605,434,124,1
5336,4076,30792,564,1927,577,153,1
-14800,-3084,27708,-1033,-2771,-11,118,1
-13080,-1808,25316,-1098,-4475,104,139,1
6184,-224,-1888,-1013,-1499,946,108,1
2008,992,-7024,-3980,-2671,811,140,1
-15104,-7800,14793,-1,-1,-1,137,1
-2952,-8364,19592,-315,824,-1230,138,1
-7864,-200,16756,-750,500,-1332,151,1
-5104,-8196,18420,-1442,-811,-1204,140,1
-8580,-3156,18752,-1049,-128,-1227,148,1
-6840,-384,18088,-518,969,-1303,145,1
-2572,-8964,18672,-711,651,-1217,144,1
-7156,-2760,19112,-1105,-275,-1280,130,1
-7780,-1012,17276,-641,472,-1413,145,1
-1476,-7392,22700,-342,1161,-1325,148,1
76,-6236,21088,-445,998,-1291,122,1
80,-5560,21552,-1077,-130,-1096,143,1
-12660,-8984,16200,-1055,-723,-763,130,1
-6740,-9868,21316,-1228,-832,-895,143,1
-8760,-3036,19152,-435,1071,-1369,148,1
-7552,-468,17632,-2087,-2076,-638,139,1
-9320,5560,13440,-2099,-1860,-489,111,1
6684,4636,21196,-547,511,-1,144,1
8872,532,28700,2175,4615,498,77,1
-13432,7120,32767,-1291,-3214,-137,88,1
4044,704,5452,-911,-2498,778,109,1
5112,164,2312,-1953,392,778,161,1
-612,8256,-6576,-4231,-2590,725,102,1
-13912,-9172,13888,-3425,-3538,-389,174,1
-9160,-1756,2656,-2771,-2580,-530,120,1
-10312,-9880,19156,-1067,-742,-858,140,1
-6272,-10312,20580,-2372,-2255,-790,145,1
-4440,3244,-2612,-3551,-3429,-36,141,1
-12496,-7208,10728,-3961,-3173,-202,137,1
-13312,-10512,17276,-3886,-3747,183,150,1
-8324,-2356,4064,-4417,-3536,127,143,1
-15448,-8392,13432,-3603,-4149,-47,151,1
-120,7972,-6440,-4349,-3404,117,143,1
-14816,-8192,11340,-2767,-3712,-310,114,1
-1180,-8116,21588,-1042,-233,-965,117,1
-8028,-6296,20100,-1472,-842,-1179,116,1
-6120,4640,14112,-1827,-1354,-339,91,1
7240,1480,31648,2205,4532,83,128,1
6752,2680,32767,482,1700,280,100,1
-15520,-3208,32767,482,1700,280,74,1
-1404,8172,-6736,-3421,-922,682,120,1
-2324,5928,-7148,-4265,-3903,453,97,1
-9112,-760,2884,-4194,-4018,-3,143,1
-13520,-9012,16440,-3046,-3356,-529,133,1
-9320,-10552,20460,-3271,-3422,-344,159,1
-3792,8028,-4148,-4261,-3633,637,96,1
-6904,1360,68,-4129,-2763,630,116,1
-14584,-8516,12504,-4471,-3194,470,72,1
-9224,668,1640,-4034,-4207,170,151,1
-15600,-7876,12564,-3954,-3837,-19,127,1
-3088,7812,-6228,-4133,-3980,291,84,1
-3256,7264,-5824,-4305,-3941,323,72,1
-12728,-9928,19556,-2284,-2798,-659,147,1
-13864,-8756,16792,-846,-535,-964,135,1
-1096,-7360,22516,-311,1150,-1117,136,1
-8012,-5504,18116,-311,1000,-1381,104,1
-796,-7992,20300,-604,433,-1346,136,1
-8176,676,13184,-2399,-2194,-759,96,1
6452,3988,20248,-111,1329,-141,145,1
4896,5328,17768,2421,4982,225,137,1
6424,1500,30752,160,890,144,134,1
-15416,652,32767,-1242,-3371,-36,80,1
980,5828,31720,-1345,-3269,-123,95,1
0,0,0,0,0,0,159,1
992,1064,-7320,-2381,328,702,148,1
-15920,-7020,10644,-4111,-3153,649,88,1
-3004,7004,-5320,-4221,-3635,392,132,1
-16108,-7016,11624,-4223,-4235,67,128,1
1288,2304,-6788,-4481,-2759,293,122,1
3284,-564,-7808,-2358,-256,1064,136,1
5256,328,-4592,-1321,-688,899,124,1
4644,1136,-1368,-759,-2266,1045,136,1
-10108,-4268,22456,-783,-3778,517,143,1
-11320,-3560,20988,-1418,-4857,-60,151,1
3972,3888,32400,-1149,-2196,9,76,1
-11172,6932,32767,-1253,-3168,-47,127,1
472,2104,8920,-513,-3400,696,140,1
6496,-1708,-8084,-1595,-1042,824,141,1
5648,40,1996,-1746,-405,821,121,1
0,0,0,0,0,0,115,1
-11624,-10464,19596,-3630,-3690,-136,155,1
-15744,-7559,-1,-1,-1,-1,163,1
-10608,-10440,20240,-1130,-463,-1012,136,1
-4136,-9144,19248,-413,911,-1075,124,1
-3484,-8444,22268,-411,915,-1497,100,1
-3856,-8928,19752,-306,870,-1224,108,1
-7804,-4852,18528,-293,1351,-1342,119,1
-2128,-6244,22448,-370,1227,-1370,72,1
-8316,-4992,19208,-879,268,-1419,141,1
-8440,24,14040,-1105,-190,-1212,144,1
-6948,-7168,19476,-1703,-1229,-1092,140,1
-8628,-324,17928,-1358,-685,-1219,128,1
-9960,2560,11608,-1179,-409,-1220,138,1
-7440,-1536,18240,-1761,-1251,-1088,104,1
-11576,3772,11956,-1927,-1747,-731,95,1
-17406,18486,-27633,-13576,-13826,1280,82,1
5312,4352,19540,-267,696,-80,148,1
9568,392,29960,1672,3758,457,124,1
-13564,7756,32767,-1318,-3654,-29,121,1
-4848,-1712,11236,-1361,-4777,65,119,1
-16508,812,32767,-908,-4254,223,96,1
3116,1272,5624,-1346,-1296,936,114,1
6124,-628,-8524,-1633,-57,801,153,1
-4032,6896,-3368,-3100,-1022,770,136,1
5692,-552,-8080,-2829,269,666,136,1
-1588,7784,-6236,-3963,-2478,670,128,1
-16400,-7284,11524,-4259,-3689,455,104,1
-288,7224,-7568,-4322,-3413,333,112,1
4076,-508,-8284,-2247,385,643,112,1
-2836,3892,-7680,-2550,-419,752,148,1
5912,-236,2060,-2095,630,673,128,1
5272,-1016,-8144,-3076,-809,813,117,1
26623,-1,-1,-1,-1,-1,148,1
888,1136,-8596,-3378,-1678,776,127,1
940,5092,-4888,-2565,255,608,127,1
-1640,5952,-5956,-2329,53,809,116,1
960,2104,7684,-1189,-1309,1065,88,1
-7672,-2776,15316,-1014,-4069,285,138,1
-13232,-4944,23768,-1280,-4323,29,80,1
-5012,6676,32767,-1139,-3721,19,114,1
-15808,528,32767,-1388,-4385,-128,127,1
-7640,-2884,15420,-1040,-4486,98,143,1
-15412,2708,32767,-1272,-4488,5,124,1
0,0,0,0,0,0,141,1
6652,-1440,-4448,-1401,-1614,861,112,1
6636,-536,-1960,-1932,364,820,143,1
